127,"tội tình","Sao anh bỏ ra đi  em nào có tội tình gì  sao anh…",52691,30,"Hàn Châu",""
128,"về miền tây","Hò ơi...Miền Cần Thơ gạo trắng nước trong  vui niềm vui ấm no…",52956,30,"Tô Thanh Tùng",""
129,"em không quay về","Kể từ khi người đi mùa đông càng rét thêm",57544,50,"Nguyễn Hoàng Tôn",""
130,"bức tranh từ nước mắt","Chuyện hai chúng ta bây giờ khác rồi",57467,50,"Mr. Siro",""
131,"em sẽ là người ra đi","Yêu nhau cho nhau từng nụ hôn  nồng ấm ân ái hôm nào…",52017,29,"Thái Khang",""
132,"cần lắm","Cần lắm ngay lúc này  cần khóc cho với đầy",57266,49,"Hoàng Rapper",""
133,"yêu anh một đời","Nhớ anh nhớ những phút nồng ấm bên nhau  giờ đây đã xa rồi...",54618,39,"Hồ Hoài Anh",""
134,"dòng thời gian","Từng ngày nào nồng nàn từng câu ca dao...",55734,44,"Nguyễn Hải Phong",""
135,"người đến sau","Mình gặp nhau quen nhau làm chi hỡi anh  để giờ đây...",53464,33,"Minh Vy",""
136,"tìm em","Em như tia nắng ban mai mùa xuân  tôi như bóng tối...",56862,47,"Minh Vy",""
137,"lời nói nhân gian","Dù người ta hay nói em yêu tôi chẳng yêu thật lòng...",57087,48,"Trung Quân",""
138,"nụ cười biệt ly","Giờ chia tay lần cuối gượng cười  mà nghe tim đớn đau  rã rời...",55631,43,"Ngọc Sơn",""
139,"tìm lại","Chẳng muốn nghe gì chẳng muốn tìm ra đôi mắt luôn tìm tìm về…",53634,34,"Microwave",""
140,"đợi em trong mơ","Sao em cứ lặng lẽ đi cho tình tôi nhức nhối",57528,50,"Ngọc Sơn",""
141,"để nhớ một thời ta đã yêu","Hạnh phúc trong tầm với  đã không còn tới khi vắng anh trong đời…",55829,44,"Thái Thịnh",""
142,"anh nhận ra","Có biết bao con đường mà sao ta vẫn đi con đường ấy…",56261,46,"Khắc Việt",""
143,"đổi thay","Hãy thắp ánh sáng trong hồn tôi…",51343,29,"Kim Tuấn",""
144,"gửi cho anh","Nhớ bao ngày mình còn chung trên con đường đi",57563,50,"Bảo Thạch",""
145,"người yêu cũ có người yêu mới","Chiều vắng  bước chân tôi  thinh lặng bước trên con đường Một người...",58541,53,"Hamlet Trương",""
146,"vết mưa","Cơn mưa  đã xoá hết những ngày yêu qua Chỉ còn mình anh...",58210,52,"Vũ Cát Tường",""
147,"thương nhau lý tơ hồng","Từ miền Nam anh ngược…",50936,29,"Trương Quang Tuấn",""
148,"lời nguyền","Lời thề ước anh đã trao cho em  vầng trăng ánh sao...",53895,36,"Minh Khang",""
149,"đừng làm anh đau","Đừng nhìn anh bằng ánh mắt xa lạ...",57011,48,"Chí Thành",""
150,"hãy buông tay em","Cứ mãi giận hờn niềm tin đâu anh...",54742,40,"Nguyễn Văn Chung",""
151,"dường như ta đã","Mây buồn trôi mãi  trôi về nơi xa  mây cũng tiếc nuối…",52738,30,"Mỹ Tâm",""
152,"cơn mưa tình yêu","Người yêu ơi cỏ mềm đã héo khô  mặt hồ lá xác xơ...",52973,30,"Mạnh Quân",""
153,"điều em lo sợ","Anh  em muốn tìm ngày mai khi Mặt Trời lên...",56998,48,"Nguyễn Văn Chung",""
154,"lòng đau tình phai","Người quay lưng ra đi cho lòng đau tình phai",57586,50,"Tuấn Nguyễn",""
155,"mưa","Chiều nay trên phố chợt có cơn mưa bay  giọt mưa vội vã nhẹ rơi…",55380,42,"Minh Vương",""
156,"mẹ yêu","Bước trăng giếng trở về trời  am mây chưa thức nỗi đời quạnh hiu...",55621,43,"Tiến Luân",""
157,"hoa cài mái tóc","Mẹ Việt Nam mắt ngời sáng quắt Nghe đâu đây tiếng vọng hòa...",58133,52,"Thông Đạt",""
158,"hạc giấy","Ở phương trời xa xôi  ngày tháng dần trôi vô tình...",54992,41,"Nguyễn Văn Chung",""
159,"anh yêu người khác rồi","Anh yêu người khác rồi  người ấy cũng như em rất tuyệt...",57448,50,"Khắc Việt",""
160,"lạc đường","Em đã từng nói nhịp tim Em sẽ chỉ đập cùng nhịp...",58499,53,"Lý Tuấn Kiệt",""
161,"tóc hát","Dường như ai đó ngang qua lối về  gió cuốn tóc thề…",52573,29,"Võ Thiện Thanh",""
162,"ta","Ta say trong nỗi buồn  ta cười với niềm đau…",52814,30,"Quốc Dũng  ",""
163,"đường tình đôi ngả","Thôi em hãy đi về  vĩnh biệt kể từ đây…",52358,29,"Lê Văn Thiện",""
164,"hát về cây lúa hôm nay","Tôi hát bài ca ngợi ca cây lúa và người trồng lúa cho...",52028,29,"Hoàng Vân",""
165,"hồn quê","Em theo anh qua những cánh đồng…",50675,29,"Thanh Sơn",""
166,"vì đó là em","Không cần biết em là ai  không cần biết em từ đâu…",52843,30,"Diệu Hương",""
167,"đêm tạ từ","Còn lại một đêm thôi rồi mai ta từ tạ...",54708,40,"Sơn Hạ",""
168,"nội tôi","Chiều về thăm quê thăm nội tóc đã bạc phơ…",52670,30,"Đình Văn",""
169,"vó ngựa trên đồi cỏ non","Em dấu yêu ơi anh đang quay về mười năm xa vắng…",52116,29,"Giao Tiên",""
170,"quên","Bước thật chậm để quên một người đằng sau dĩ vãng...",55410,42,"Khắc Việt",""
171,"trăng vỡ","Lòng em như trang giấy thơm trắng ngần…",52575,29,"Minh Vy",""
172,"nhớ","Anh ơi em xin anh đừng có hỏi…",50789,29,"Lê Uyên",""
173,"tôi là ai em là ai","Đêm qua tôi nằm mơ thấy em  trong giấc mơ...",52300,29,"Lê Quang",""
174,"sao anh ra đi","Còn lại gì hỡi anh lời yêu rời xa trái tim  tình mình…",52676,30,"Minh Vy",""
175,"người tình mùa đông","Đường vào tim em ôi băng giá…",50475,29,"Nhạc Hoa",""
176,"cho em một lần yêu","Người bỗng đến bên em vào một hôm nắng xanh ngời...",56009,45,"Đức Trí",""
177,"vì sao thế","Đến làm gì để rồi nay em ra đi  đến làm gì...",52438,29,"Phạm Hòa Khánh",""
178,"xóa","Phải làm sao quên nụ hôn cuối cùng mình trao đến nhau...",54146,37,"Phúc Trường",""
179,"chính là anh","Cứ mỗi sáng thức dậy  bên cạnh anh luôn có một vòng tay…",56008,45,"Khắc Việt",""
180,"con đường mưa","Nếu ngày xưa bước đi nhanh qua con đường mưa...",53398,33,"Nguyễn Văn Chung",""
181,"bốn chữ lắm","Yêu là đau  thương là đau sao? Chờ mong người đi về...",58399,53,"Phạm Toàn Thắng",""
182,"ngại ngùng","Em đã biết cong môi từ chối...",51062,29,"Quốc Dũng",""
183,"còn lại gì sau cơn mưa","Nhớ không em bao nhiêu ngày xưa",57285,49,"Bảo Thạch",""
184,"hạnh phúc đơn sơ 2","Ngày mình yêu nhau hai bàn tay trắng cơ hàn…",55850,44,"Mạnh Quỳnh",""
185,"thành phố buồn","Thành phố nào nhớ không em  nơi chúng mình...",53949,36,"Lam Phương",""
186,"quà cho anh","Những món quà nhỏ bé chứa những điều hạnh phúc Mà em cố...",57912,51,"Nguyễn Văn Chung",""
187,"chờ","Chờ anh đến  cơn gió lao xao ngẩn ngơ thẫn thờ...",54669,40,"Hồng Ân",""
188,"em nhớ anh","Từng ngày dài trôi qua chỉ còn lại nỗi nhớ....",57021,48,"Only C",""
189,"đồng xanh","Đồng xanh gió ru êm và mây nâng bước chân em về...",56706,47,"Dương Khắc Linh",""
190,"có khi nào rời xa","Biết đâu bất ngờ đôi ta chợt rời xa nhau Ai còn đứng...",57724,51,"Tiên Cookie",""
191,"suy nghĩ trong anh","Cứ qua thêm một ngày mới biết thế nào là yêu...",55785,44,"Khắc Việt",""
192,"hỏi vợ ngoại thành","Sẽ có một ngày nơi ngoại thành xa anh sẽ về thăm…",51923,29,"Giao Tiên",""
193,"em muốn","Anh đôi khi em muốn anh cười  bên em đi trong chiều...",54226,38,"Nguyễn Đức Cường",""
194,"tình","Tình là một chuyện muôn màu…",50488,29,"Nhạc ngoại",""
195,"sao ta lặng im","Có lẽ đêm nay là giây phút cuối rồi  đến hết đêm nay...",55784,44,"Nguyễn Hồng Thuận",""
196,"ở phương đó hãy tha thứ cho anh","Màn đêm buông thật mau",57633,50,"Lâm Chấn Khang",""
197,"đêm định mệnh","Trong cơn say anh đến bên em  nghe chơi vơi điên đảo con tim...",53129,31,"Trương Lê Sơn",""
198,"tình nhạt phai","Chiều buồn nghiêng nắng…",50489,29,"Nhạc Hoa",""
199,"nơi anh không thuộc về","Kỉ niệm qua khiến tim nhạt nhòa Một người đau  một người bỏ...",57898,51,"Nhạc:  Only C Lời: Kay Jong",""
200,"cố quên","Cố quên đi một hình bóng dẫu đôi tay vẫn không thể buông...",56030,45,"Khởi My",""
201,"yêu lại từ đầu","Rừng đang mùa thay lá  loài người vẫn đang yêu...",53080,30,"Phạm Đăng Khương",""
202,"giả vờ yêu","Đêm chia ly mưa buồn rơi héo hắt...",54043,37,"Duy Anh",""
203,"cám ơn tình yêu","Cám ơn người vì một tình yêu tha thiết...",54908,41,"Vĩnh Tâm",""
204,"giấc mơ chapi","Ở nơi ấy tôi đã thấy trên ngọn núi cao  có hai người...",53418,33,"Trần Tiến",""
205,"mây và núi","Hơ hơ hơ… xưa mây vẫn hay thường lang thang ngao du...",52052,29,"Vĩnh Tâm",""
206,"đêm trăng tình yêu","Chiều một mình trên phố năm xưa...",52989,30,"Nguyễn Văn Chung",""
207,"ước gì","Em đã sống những đêm trời có ánh trăng chiếu vàng...",51870,29,"Võ Thiện Thanh",""
208,"khóc","Đã bao nhiêu lần anh khóc trong mơ...",56103,45,"Khắc Việt",""
209,"hờn trách con đò","Cố gọi con đò nhưng con đò dường như chẳng nghe...",55338,42,"Phi Bằng",""
210,"xin lỗi tình yêu","Anh nói sẽ đưa em đi suốt cuộc đời  mà sao không đưa được…",52121,29,"Minh Nhiên",""
211,"con đường màu xanh","Này người yêu xin quay mặt đi  đã hết yêu thương nhau rồi...",53397,33,"Trịnh Nam Sơn",""
212,"cắn rứt","Đã nhiều lần muốn nói chia tay cùng em từ lâu…",53535,34,"Quang Huy",""
213,"ngôi sao lẻ loi","Đêm nay anh ngồi đây  nhìn trời sao anh nhớ em...",55062,41,"Lê Huy",""
214,"năm anh em trên một chiếc xe tăng","Năm anh em trên một chiếc…",51540,29,"Doãn Nho",""
215,"cầu vồng khuyết","Ai đã yêu một lần  đều hạnh phúc với người mình yêu...",53390,33,"Minh Khang",""
216,"cạm bẫy tình yêu","Đừng tin vào lời ong bướm  đó là hố sâu...",52769,30,"Minh Khang",""
217,"đêm","Đặt bàn tay lên đôi má em thơm nồng  nhẹ hôn lên môi em...",54706,40,"Hồ Trung Dũng",""
218,"ta đi tìm em","Thành Đô Lâm An Đại Lý ta tìm nàng…",53801,35,"Kim Minh Huy",""
219,"cây cầu dừa","Đã lâu lắm rồi em về thăm lại chốn xưa ...",51487,29,"Hàn Châu",""
220,"tình yêu và nỗi nhớ","Đã bao đêm anh thức viết thư tình  gửi trao em tình yêu và nỗi nhớ...",55442,42,"Bằng Cường",""
221,"căn nhà mộng ước","Chuyện tình ngày xưa anh với em yêu nhau…",52007,29,"Hoàng Phương",""
222,"tình là gì","Chuyện tình bao ngày qua để lại vết thương khó phai nhòa…",55925,44,"Thái Thịnh",""
223,"bình yên nhé","Chiều nay trên phố mưa bay  có một người tiễn đưa một người...",55718,44,"Khắc Việt",""
224,"góc nhỏ trong tim","Mỗi khi ngắm những anh nắng mai thức dạy",57311,49,"Bảo Thạch",""
225,"tình xót xa thôi","Thấy bóng dáng ai đang về quanh em...",51718,29,"Lê Quang",""
226,"tập quên","Tôi đã hứa rằng tôi sẽ quên  quên đi bóng hình xưa của em…",55420,42,"Phạm Trưởng",""
227,"lắng nghe tim em","Hãy đến gần em  cầm tay trao nụ hôn Để cho anh cảm...",58501,53,"Phạm Hoàng Duy",""
228,"chỉ vậy thôi","Anh chưa từng nói sẽ yêu em suốt đời  anh chưa từng nghĩ...",56664,47,"Phạm Bảo Nam",""
229,"trả lại anh","Nơi ta từng qua  quán quen ta từng ngồi Bao nhiêu buồn vui...",58196,52,"Khánh Đơn",""
230,"như vậy nhé","Cười đi em  đừng khóc nhé...",55077,41,"Khắc Việt",""
231,"quê em mùa nước lũ","Không còn con sông…",50890,29,"Tiến Luân",""
232,"mãi mãi","Mong manh như là sương khói những tiếng yêu…",52384,29,"Hoài Phúc",""
233,"nơi tình yêu kết thúc","Người yêu ơi.....ngoài kia mùa đông đã rơi Lạnh không em.....lẻ loi bàn...",57901,51,"Tiến Minh",""
234,"duyên phận ý trời","Đên đây thì cả hai chắc phải dừng lại",57509,50,"Khánh Đơn",""
235,"rock sài gòn","Phía xa ở mãi chân trời xanh những cánh chim bồ câu…",53621,34,"Lâm Quốc Cường",""
236,"nụ hồng mong manh","Anh đem trao cho em…",50902,29,"Nhạc Hoa",""
237,"nhật ký của mẹ","Bao ngày mẹ ngóng  bao ngày mẹ trông  bao ngày mẹ mong con chào đời…",56503,46,"Nguyễn Văn Chung",""
238,"điều ngọt ngào nhất","Những lúc khi anh đang buồn chỉ cần trông thấy em...",56999,48,"Nguyễn Hồng Thuận",""
239,"không cần phải hứa đâu em","Ừ thôi em yêu ơi  ngày mai ta xa nhau rồi...",52765,30,"Phạm Khánh Hưng",""
240,"nối vòng tay lớn","Rừng núi dang tay…",50726,29,"Trịnh Công Sơn",""
241,"đêm cuối","Người ơi có nhớ có thương…",51005,29,"Thanh Sơn",""
242,"nỗi đau xót xa","Từng ngày qua trong lòng anh vẫn như mơ Một giấc mơ luôn...",58554,53,"Lương Duy Thắng",""
243,"tủi phận","Thôi em hãy về bên người giàu sang  còn anh tay trắng...",53506,33,"Thái Hùng",""
244,"nơi đảo xa","Nơi anh đến và biển xa  nơi anh tới ngoài đảo xa...",54545,39,"Thế Song",""
245,"đôi mắt người xưa","Chuyện tình của tôi tan vỡ từ lâu rồi  tưởng không bao giờ còn nhớ...",54450,39,"Ngân Giang",""
246,"mong một ngày anh nhớ đến em","Trong đêm miên man từng dòng thư em trao anh…",52651,30,"Vĩnh Tâm",""
247,"chờ người nơi ấy","Ngồi lại nhấp chén say Lắng trong lòng mình những đắng cay Ngày dài...",58422,53,"Huy Tuấn",""
248,"người nào đó","Tình cờ mình quen biết Vào 1 ngày trời xanh nắng Buông xuôi nơi...",57869,51,"Nguyễn Thanh Tuấn",""
249,"cảm ơn","Ngày trôi qua ngày  giờ quanh ta dường như biết bao điều đổi thay…",56283,46,"Wanbi Tuấn Anh",""
250,"đợi chờ là hạnh phúc","Ôm em trong tay nói câu ly biệt  nhìn em khóc...",54222,38,"Khánh Đơn",""
251,"anh sẽ quay về","Cười đi em dẫu cho mình cần phải chia ly…",56264,46,"Quang Huy",""
252,"mưa đêm tỉnh nhỏ","Trời đổ mưa cho phố vắng mênh mông khơi lòng…",52237,29,"Hà Phương",""
253,"chuyện tình không dĩ vãng","Vàng cây lá bay  đôi tay ngây buồn mang suy tư về...",54938,41,"Tâm Anh",""
254,"hàn mạc tử","Ai mua trăng tôi bán trăng cho…",50972,29,"Trần Thiện Thanh",""
255,"khổ vì yêu nàng","Tình có lúc khiến ta buồn chán…",51387,29,"Lê Hựu Hà",""
256,"giá như chưa từng quen","Người yêu ơi bao năm tháng qua đôi ta đã sống",57551,50,"Phạm Bảo Nam",""
257,"sai","Bao đêm em chìm trong những giấc mơ  vờ như em chưa yêu anh…",56550,46,"Mỹ Tâm",""
258,"giận lòng","Chiều hôm nay thoáng nghe tim anh Người ta nói anh đang hạnh...",58113,52,"Hoàng Rapper",""
259,"ngày hạnh phúc","Da da di… Quên đi bao nhiêu âu lo ngày hôm qua...",55056,41,"Lưu Thiên Hương",""
260,"mãi mãi một tình yêu","Đêm từng đêm khi màn sương buông xuống thênh thang...",52049,29,"Hoài An",""
261,"bản tình ca đầu tiên","Ngày không em không lung linh nắng trên con đường...",54163,38,"Duy Khoa",""
262,"bài thánh ca buồn","Bài thánh ca đó còn nhớ không em Noel năm nào chúng...",51976,29,"Nguyễn Vũ",""
263,"hãy để anh yêu em lần nữa","Đã có những khi anh đã sai  nước mắt của em đang nhẹ rơi...",55682,43,"Nguyễn Đình Vũ",""
264,"chỉ anh hiểu em","Anh nhớ những ngày mà mình còn bên cạnh nhau thật đẹp biết mấy...",55992,45,"Khắc Việt",""
265,"vọng cổ buồn","Đêm dài nghe tiếng vọng cổ buồn  nức nở vầng trăng...",52582,29,"Minh Vy",""
266,"dấu yêu ơi","Khi tình yêu vụt bay như cánh chim...",51762,29,"Thái Thịnh",""
267,"em luôn ở trong tâm trí anh","Đã cố gắng chẳng nghĩ về em  cho anh thôi cô đơn trong lòng...",57020,48,"Nguyễn Văn Chung",""
268,"vì sao","Đã nói với em buổi hôm ấy đến với em ...",50233,29,"Từ Huy",""
269,"lời tỏ tình dễ thương","Ơi người yêu em như ngàn ánh sao...",51393,29,"Ngọc Sơn",""
270,"riêng một góc trời","Tình yêu như nắng…",51045,29,"Ngô Thụy Miên",""
271,"chỉ cần em hạnh phúc","Tình yêu đôi lúc không cùng cảm giác yêu thương từ hai người…",56287,46,"Nguyễn Đình Vũ",""
272,"tìm","Có những khi ta buồn về đâu người ơi phía chân trời...",54834,40,"Hồng Ân",""
